state meaning
"New Mexico" "**Mēxihco via Nuevo México** <br>From Spanish Nuevo México. The name Mexico comes from Nahuatl Mēxihca (pronounced [meːˈʃiʔko]), which referred to the Aztec people who founded the city of Tenochtitlan. Its literal meaning is unknown, though many possibilities have been proposed, such as that the name comes from the god Metztli."
"New York" "**York** <br>After the then-Duke of York (later King James II of England). Named by then-King Charles II of England, James II's brother. The name ""York"" is derived from its Latin name Eboracum (via Old English Eoforwic and then Old Norse Jórvík), apparently borrowed from Brythonic Celtic *eborakon, which probably meant 'Yew-Tree Estate'.See also: York § Origin of the name"
"North Carolina" "**Carolus via Carolana** <br>After King Charles I of England. The name Charles itself is derived from Frankish karl, 'man, husband'."
"North Dakota" "**dakhóta** <br>'Ally' or 'friend', after the Dakota tribe."
Ohio "**ohi:yo’** <br>'Large creek', originally the name of both the Ohio River and Allegheny River. Often incorrectly translated as 'beautiful river', due to a French mistranslation."
Oklahoma "**okla + homa** <br>Devised as a rough translation of 'Indian Territory'. In Choctaw, okla means 'people', 'tribe', or 'nation', and homa- means 'red', thus 'red people'."
Oregon "**Disputed** <br>Disputed meaning. First named by Major Robert Rogers in a petition to King George III.Further information: Etymology of Oregon"
Pennsylvania "**Penn + silvania** <br>'Penn's woods', after Admiral William Penn, the father of its founder William Penn. Pennsylvania is the only state that shares part of its name with its founder. The name ""Penn"" comes from the Welsh word for 'head'."
"Rhode Island" "**roodt eylandt** <br>'Red island', referring to Aquidneck Island. The Modern Dutch form of the phrase is 'rood eiland'.
**Ρόδος (Ródos)** <br>For a resemblance to the island of Rhodes in the Aegean Sea."
"South Carolina" "**Carolus via Carolana** <br>After King Charles I of England. The name Charles itself is derived from Frankish karl, 'man, husband'."
"South Dakota" "**dakhóta** <br>'Ally' or 'friend', after the Dakota tribe."
Tennessee "**ᏔᎾᏏ (tanasi)** <br>Tanasi (in Cherokee: ᏔᎾᏏ) was the name of a Cherokee village; the meaning is unknown."
Texas "**táyshaʔ via Tejas** <br>'Friend', used by the Caddo to refer the larger Caddo nation (in opposition to enemy tribes). The name was borrowed into Spanish as texa, plural texas, and was used to refer to the Nabedache people (and later to the Caddo Nation in general). When the Spanish decided to convert the Nabedache to Catholicism, they constructed La Misión de San Francisco de los Texas, which later came to be used in naming the Viceroyalty of New Spain’s province."
Utah "**yúdah via yuta** <br>From the Spanish designation for the Ute people, yuta, in turn perhaps a borrowing from Western Apache yúdah, meaning 'high', sometimes incorrectly translated as 'people of the mountains'.
**noochee via yuta** <br>From the Ute's self-designation [nutʃi̥], plural [nuːtʃiu], as suggested by J. P. Harrington, though this etymology is disputed."
Vermont "**vert + mont** <br>'Green mount' or 'green mountain'; vert in French means 'green', and mont means 'mount' or 'mountain'. However, in French, 'green mountain' would actually be written mont vert."
Virginia "**Virginia** <br>'Country of the Virgin', after Elizabeth I of England, who was known as the ""Virgin Queen"" because she never married."
Washington "**Washington** <br>After George Washington, whose surname was in turn derived from the town of Washington in historic County Durham, England. The etymology of the town's name is disputed, but agreed to be ultimately Old English."
"West Virginia" "**Virginia** <br>The western, transmontane counties of Virginia, which separated from Virginia during the American Civil War. See Virginia, above."
Wisconsin "**Meeskohsinki via Ouisconsin(k)** <br>Originally spelled Mescousing by the French, and later corrupted to Ouisconsin. It likely derives from a Miami-Illinois word Meskonsing, meaning 'it lies red' or 'river running through a red place'. It may also come from the Ojibwe term miskwasiniing, 'red-stone place'."
Wyoming "**xwé:wamənk** <br>'At the big river flat'; the name was transplanted westward from the Wyoming Valley in Pennsylvania."
